ID_Pesanan,Tanggal,Produk,Kategori,Jumlah,Harga_Satuan,Total_Penjualan
10027,2025-04-22,Foundation Illo,Beauty,1.0,Rp8.276,Rp8.276
10028,2024-12-12,Table Error,Furnitur,3.0,Rp731,Rp2.193
10029,2025-08-27,RC Car Amet,Toys,2.0,Rp67.085,Rp107.336
10030,2024-04-22,Sugar Excepturi,Kebutuhan Pokok,5.0,Rp79.453,Rp337.675
10031,2025-01-07,Wheat Consequuntur,Kebutuhan Pokok,2.0,Rp25.545,Rp45.981
10032,2023-12-11,Cricket Bat Voluptatum,Sports,4.0,Rp76.643,Rp291.243
10033,2024-06-24,Sofa Deleniti,Furnitur,4.0,Rp60.561,Rp193.795
10034,2025-07-11,RC Car Quam,Toys,4.0,Rp19.080,Rp61.056
10035,2023-12-31,Action Figure Laboriosam,Toys,2.0,Rp48.271,Rp77.233
10036,2025-03-08,Lipstick Accusantium,Beauty,4.0,Rp7.232,Rp24.588
10037,2024-12-02,Dumbbells Quas,Sports,2.0,Rp78.467,Rp156.934
10038,2023-10-19,Yoga Mat Quaerat,Sports,4.0,Rp34.124,Rp129.671
10039,2025-09-30,Puzzle Assumenda,Toys,2.0,Rp60.907,Rp121.814
10040,2023-11-16,Refrigerator Libero,Dapur,5.0,Rp9.102,Rp40.959
10041,2024-09-18,Board Game Consequuntur,Toys,5.0,Rp76.782,Rp307.128
10042,2025-07-01,Doll Laborum,Toys,5.0,Rp57.559,Rp273.405
10043,2024-02-11,Camera A,Electronics,2.0,Rp68.630,Rp137.260
10044,2024-10-23,Nasi/Beras Incidunt,Kebutuhan Pokok,5.0,Rp64.105,Rp256.420
10045,2023-11-03,Textbook Consequuntur,Buku,2.0,Rp68.202,Rp136.404
10046,2023-11-20,Biografi Magni,Buku,1.0,Rp36.207,Rp30.775
10047,2025-10-01,Perfume Quisquam,Beauty,3.0,Rp55.843,Rp150.776
10048,2025-09-03,Tennis Racket Sapiente,Sports,5.0,Rp60.512,Rp287.432
10049,2025-01-22,Puzzle Dolorem,Toys,1.0,Rp70.834,Rp63.750
10050,2024-04-28,Shoes Deleniti,Pakaian,1.0,Rp33.485,Rp33.485
10051,2024-05-04,Perfume Rerum,Beauty,5.0,Rp8.568,Rp40.698
10052,2025-05-06,Sofa Omnis,Furnitur,4.0,Rp64.645,Rp245.651
10053,2025-09-02,Biografi Illum,Buku,5.0,Rp12.976,Rp64.880
10054,2024-04-15,Women's Wear Odio,Pakaian,3.0,Rp27.698,Rp66.475
10055,2023-12-09,Tennis Racket Ea,Sports,2.0,Rp28.261,Rp48.043
10056,2024-05-19,Bed Molestias,Furnitur,5.0,Rp42.462,Rp212.310
10057,2023-12-05,Wall Art Excepturi,Home Decor,4.0,Rp62.926,Rp251.704
10058,2024-10-16,Puzzle Ut,Toys,4.0,Rp73.473,Rp249.808
10059,2024-10-09,Cabinet Odit,Furnitur,3.0,Rp29.226,Rp74.526
10060,2025-05-16,Vase Necessitatibus,Home Decor,2.0,Rp9.860,Rp17.748
10061,2025-04-30,Football Eveniet,Sports,5.0,Rp17.665,Rp88.325
10062,2024-04-09,Cookware Set Nisi,Dapur,2.0,Rp13.751,Rp23.376
10063,2025-01-26,Alat Jus (Juicer) Totam,Dapur,5.0,Rp11.226,Rp50.517
10064,2023-12-27,Action Figure Cum,Toys,4.0,Rp70.618,Rp268.348
10065,2024-06-23,Biografi Nobis,Buku,3.0,Rp37.492,Rp95.604
10066,2024-06-22,Alat Jus (Juicer) Vero,Dapur,2.0,Rp34.997,Rp69.994
10067,2025-05-28,Mixer Grinder Recusandae,Dapur,2.0,Rp71.572,Rp128.829
10068,2024-02-23,Biografi Ad,Buku,5.0,Rp38.936,Rp184.946
10069,2023-11-24,Vase Molestiae,Home Decor,1.0,Rp19.506,Rp19.506
10070,2025-01-02,Tennis Racket At,Sports,5.0,Rp48.227,Rp217.021
10071,2024-08-31,Tennis Racket Ipsa,Sports,3.0,Rp2.697,Rp7.686
10072,2025-06-18,RC Car Eius,Toys,4.0,Rp47.678,Rp152.569
10073,2025-04-01,Cushion Quis,Home Decor,1.0,Rp39.545,Rp33.613
10074,2024-03-14,Puzzle Nesciunt,Toys,5.0,Rp60.787,Rp258.344
10075,2024-12-09,Action Figure Placeat,Toys,1.0,Rp26.035,Rp20.828
10076,2025-01-17,Pakaian Anak Aut,Pakaian,5.0,Rp41.865,Rp188.392
10077,2025-03-04,Cookware Set Libero,Dapur,4.0,Rp76.576,Rp275.673
10078,2024-04-10,Camera Nostrum,Electronics,2.0,Rp33.749,Rp53.998
10079,2024-07-05,Refrigerator Sequi,Dapur,4.0,Rp46.014,Rp156.447
10080,2025-02-17,Lipstick At,Beauty,5.0,Rp55.423,Rp249.403
10081,2023-12-05,Cabinet Nobis,Furnitur,5.0,Rp5.463,Rp25.949
10082,2024-12-13,Yoga Mat Deserunt,Sports,1.0,Rp4.714,Rp4.714
10083,2025-06-20,Tennis Racket Cupiditate,Sports,4.0,Rp31.170,Rp112.212
10084,2024-07-20,Vase Similique,Home Decor,1.0,Rp8.927,Rp7.141
10085,2024-11-01,Cabinet Natus,Furnitur,1.0,Rp16.256,Rp15.443
10086,2025-06-02,Board Game Sequi,Toys,2.0,Rp22.240,Rp44.480
10087,2024-03-29,Minyak Modi,Kebutuhan Pokok,3.0,Rp62.172,Rp186.516
10088,2023-11-15,Tennis Racket Aperiam,Sports,5.0,Rp39.458,Rp187.425
10089,2024-12-25,Comics Voluptatibus,Buku,4.0,Rp34.376,Rp130.628
10090,2025-02-26,Pakaian Anak Ipsa,Pakaian,4.0,Rp53.084,Rp180.485
10091,2025-06-08,Lipstick Nostrum,Beauty,3.0,Rp60.656,Rp181.968
10092,2025-01-29,Camera Ipsa,Electronics,1.0,Rp73.564,Rp62.529
10093,2025-01-11,Sofa Quaerat,Furnitur,5.0,Rp26.060,Rp123.785
10094,2025-01-08,Perfume Qui,Beauty,4.0,Rp72.702,Rp276.267
10095,2024-01-12,Camera Temporibus,Electronics,2.0,Rp40.818,Rp65.308
10096,2024-05-31,Spices Reiciendis,Kebutuhan Pokok,3.0,Rp24.183,Rp72.549
10097,2024-10-17,Minyak Non,Kebutuhan Pokok,4.0,Rp19.526,Rp66.388
10098,2023-11-26,Fiction Nemo,Buku,5.0,Rp54.037,Rp270.185
10099,2024-02-12,Yoga Mat Optio,Sports,5.0,Rp63.813,Rp319.065
10100,2023-12-24,Mobile Harum,Electronics,3.0,Rp74.680,Rp201.636
10101,2025-06-16,Aksesoris Natus,Pakaian,4.0,Rp13.189,Rp47.480
10102,2024-11-04,Dumbbells Quos,Sports,4.0,Rp1.138,Rp4.096
10103,2025-08-14,Sofa Repudiandae,Furnitur,5.0,Rp76.226,Rp304.904
10104,2025-02-10,Doll Totam,Toys,3.0,Rp31.343,Rp79.924
10105,2023-11-17,Lamp Pariatur,Home Decor,4.0,Rp61.338,Rp208.549
10106,2024-05-19,Table Laudantium,Furnitur,1.0,Rp8.623,Rp6.898
10107,2024-10-27,Dumbbells Aspernatur,Sports,3.0,Rp41.142,Rp117.254
10108,2024-06-08,Pakaian Anak Architecto,Pakaian,5.0,Rp13.088,Rp58.896
10109,2024-09-07,Bed Officiis,Furnitur,1.0,Rp44.965,Rp40.468
10110,2025-01-05,RC Car Incidunt,Toys,4.0,Rp28.822,Rp103.759
10111,2024-10-22,Camera Dignissimos,Electronics,2.0,Rp30.299,Rp54.538
10112,2024-04-12,Microwave Vero,Dapur,2.0,Rp44.595,Rp71.352
10113,2023-10-04,Table Repudiandae,Furnitur,3.0,Rp32.301,Rp77.522
10114,2023-11-30,Cushion Dignissimos,Home Decor,3.0,Rp78.217,Rp234.651
10115,2024-11-23,Board Game Earum,Toys,5.0,Rp19.154,Rp81.404
10116,2025-05-15,Alat Jus (Juicer) In,Dapur,4.0,Rp25.790,Rp82.528
10117,2024-05-10,Lipstick Soluta,Beauty,3.0,Rp78.010,Rp210.627
10118,2025-01-30,Microwave Aperiam,Dapur,4.0,Rp8.753,Rp33.261
10119,2024-09-26,Microwave Reiciendis,Dapur,5.0,Rp49.477,Rp197.908
10120,2025-01-10,Yoga Mat Vel,Sports,1.0,Rp54.160,Rp46.036
10121,2025-05-16,Football Eum,Sports,2.0,Rp58.592,Rp111.324
10122,2025-04-25,Laptop Amet,Electronics,1.0,Rp6.284,Rp6.284
10123,2025-06-23,Spices Non,Kebutuhan Pokok,4.0,Rp79.276,Rp253.683
10124,2024-12-02,Shoes Recusandae,Pakaian,3.0,Rp22.072,Rp52.972
10125,2024-11-22,Alat Jus (Juicer) Deleniti,Dapur,1.0,Rp61.175,Rp51.998
10126,2024-06-03,Fiction Necessitatibus,Buku,3.0,Rp53.034,Rp135.236
10127,2025-02-09,Minyak Laboriosam,Kebutuhan Pokok,3.0,Rp20.304,Rp54.820
10128,2024-11-12,Cushion Id,Home Decor,3.0,Rp19.607,Rp58.821
10129,2025-07-31,Table Placeat,Furnitur,1.0,Rp26.827,Rp24.144
10130,2024-03-07,Spices Error,Kebutuhan Pokok,5.0,Rp31.262,Rp132.863
10131,2024-07-03,Headphones Id,Electronics,4.0,Rp61.765,Rp234.707
10132,2024-08-22,Women's Wear Ipsa,Pakaian,4.0,Rp2.962,Rp9.478
10133,2024-08-01,Puzzle Placeat,Toys,3.0,Rp17.679,Rp45.081
10134,2024-01-23,Sofa Nulla,Furnitur,1.0,Rp79.310,Rp67.413
10135,2024-08-06,Camera Culpa,Electronics,4.0,Rp33.270,Rp126.426
10136,2024-03-24,Doll Adipisci,Toys,3.0,Rp35.928,Rp102.394
10137,2025-03-26,Board Game Animi,Toys,1.0,Rp62.438,Rp59.316
10138,2024-10-18,Bed Accusantium,Furnitur,4.0,Rp41.162,Rp164.648
10139,2025-01-15,Mobile Aspernatur,Electronics,4.0,Rp78.576,Rp298.588
10140,2025-08-13,Non-Fiksi Quae,Buku,3.0,Rp38.456,Rp109.599
10141,2024-09-29,Pakaian Anak Tempora,Pakaian,1.0,Rp51.518,Rp46.366
10142,2023-12-05,Mobile Ea,Electronics,3.0,Rp25.964,Rp77.892
10143,2024-04-20,Cabinet Voluptatum,Furnitur,5.0,Rp38.240,Rp181.640
10144,2024-04-02,Tennis Racket Asperiores,Sports,2.0,Rp40.778,Rp81.556
10145,2024-08-14,Football Dolores,Sports,5.0,Rp22.147,Rp105.198
10146,2024-11-13,Table Tenetur,Furnitur,1.0,Rp48.776,Rp41.459
10147,2024-01-01,Smartwatch Eum,Electronics,2.0,Rp74.802,Rp127.163
10148,2024-01-14,Mixer Grinder Porro,Dapur,1.0,Rp77.440,Rp61.952
10149,2024-06-14,Alat Jus (Juicer) Reiciendis,Dapur,1.0,Rp42.881,Rp40.736
10150,2024-03-04,Non-Fiksi Commodi,Buku,4.0,Rp11.205,Rp40.338
10151,2025-08-24,Puzzle Repellendus,Toys,4.0,Rp67.259,Rp255.584
10152,2025-08-25,Spices Suscipit,Kebutuhan Pokok,3.0,Rp21.886,Rp59.092
10153,2025-07-11,Microwave Officiis,Dapur,3.0,Rp8.844,Rp26.532
10154,2023-12-29,Cookware Set Quo,Dapur,3.0,Rp32.484,Rp92.579
10155,2023-12-12,Clock Itaque,Home Decor,2.0,Rp26.027,Rp49.451
10156,2024-12-22,Foundation Nihil,Beauty,4.0,Rp43.826,Rp166.538
10157,2024-04-07,Action Figure Enim,Toys,1.0,Rp39.221,Rp33.337
10158,2025-02-03,RC Car In,Toys,1.0,Rp54.312,Rp54.312
10159,2025-06-21,Pakaian Anak Aliquid,Pakaian,1.0,Rp15.748,Rp15.748
10160,2024-07-31,Headphones Labore,Electronics,2.0,Rp68.044,Rp122.479
10161,2025-09-26,Clock Officia,Home Decor,5.0,Rp8.465,Rp42.325
10162,2024-07-22,Sofa Dolor,Furnitur,1.0,Rp63.767,Rp51.013
10163,2024-09-14,Biografi Mollitia,Buku,5.0,Rp43.178,Rp215.890
10164,2024-06-21,Alat Jus (Juicer) Possimus,Dapur,5.0,Rp44.801,Rp190.404
10165,2025-08-21,Cushion Quasi,Home Decor,4.0,Rp71.174,Rp270.461
10166,2025-09-18,Comics Ad,Buku,2.0,Rp56.852,Rp108.018
10167,2025-04-01,Table Expedita,Furnitur,3.0,Rp8.167,Rp20.825
10168,2024-04-07,Dumbbells Voluptatem,Sports,2.0,Rp59.433,Rp106.979
10169,2024-03-21,Wheat Beatae,Kebutuhan Pokok,3.0,Rp42.341,Rp127.023
10170,2025-07-28,Tennis Racket Doloremque,Sports,5.0,Rp23.230,Rp104.535
10171,2024-06-29,Football Nesciunt,Sports,3.0,Rp39.790,Rp119.370
10172,2024-10-29,Mixer Grinder Officia,Dapur,3.0,Rp15.794,Rp40.274
10173,2025-01-16,Men's Wear Quos,Pakaian,1.0,Rp10.635,Rp10.635
10174,2025-04-16,Action Figure Dolor,Toys,1.0,Rp64.954,Rp58.458
10175,2024-09-28,Bed Eius,Furnitur,1.0,Rp47.269,Rp37.815
10176,2023-12-23,Face Cream Id,Beauty,5.0,Rp21.181,Rp90.019
10177,2024-06-17,Camera At,Electronics,2.0,Rp40.371,Rp80.742
10178,2024-11-13,Board Game Ab,Toys,5.0,Rp18.936,Rp85.212
10179,2024-10-21,Cabinet A,Furnitur,1.0,Rp44.366,Rp35.492
10180,2025-03-25,Biografi Deserunt,Buku,1.0,Rp54.330,Rp54.330
10181,2024-08-03,Minyak In,Kebutuhan Pokok,4.0,Rp27.952,Rp89.446
10182,2024-08-02,Aksesoris Culpa,Pakaian,5.0,Rp10.007,Rp50.035
10183,2023-12-02,Lamp Exercitationem,Home Decor,2.0,Rp8.172,Rp16.344
10184,2025-02-27,Mobile Magnam,Electronics,5.0,Rp27.145,Rp122.152
10185,2024-10-09,Perfume Neque,Beauty,4.0,Rp73.974,Rp295.896
10186,2025-04-20,Cricket Bat Delectus,Sports,4.0,Rp36.775,Rp139.745
10187,2024-08-03,Cookware Set Minima,Dapur,2.0,Rp8.566,Rp14.562
10188,2024-06-23,Puzzle Nulla,Toys,2.0,Rp10.036,Rp20.072
10189,2023-12-04,Kursi Veniam,Furnitur,4.0,Rp33.969,Rp122.288
10190,2023-10-19,Shoes Dolores,Pakaian,2.0,Rp29.047,Rp46.475
10191,2024-08-22,Wall Art Quidem,Home Decor,4.0,Rp15.118,Rp51.401
10192,2025-05-14,Football Architecto,Sports,4.0,Rp24.282,Rp87.415
10193,2023-10-10,Non-Fiksi Aliquid,Buku,1.0,Rp57.488,Rp45.990
10194,2024-08-16,Refrigerator Quibusdam,Dapur,1.0,Rp68.404,Rp64.983
10195,2025-01-02,Sofa Voluptas,Furnitur,4.0,Rp27.157,Rp92.333
10196,2024-08-24,Yoga Mat Nam,Sports,1.0,Rp13.561,Rp13.561
10197,2024-04-17,Table Iusto,Furnitur,4.0,Rp72.077,Rp259.477
10198,2024-01-22,Aksesoris Aspernatur,Pakaian,3.0,Rp40.130,Rp114.370
10199,2024-06-20,Sofa Dolorum,Furnitur,2.0,Rp48.439,Rp87.190
10200,2024-10-30,Face Cream Necessitatibus,Beauty,5.0,Rp50.870,Rp203.480
10201,2024-07-11,Men's Wear Quia,Pakaian,1.0,Rp73.982,Rp62.884
10202,2024-05-03,Board Game Ipsa,Toys,4.0,Rp27.226,Rp87.123
10203,2024-02-10,Doll Soluta,Toys,2.0,Rp39.988,Rp75.977
10204,2025-09-06,Dumbbells Unde,Sports,4.0,Rp65.084,Rp234.302
10205,2025-05-16,Nasi/Beras Odit,Kebutuhan Pokok,2.0,Rp32.591,Rp61.922
10206,2025-01-15,Pakaian Anak Sed,Pakaian,3.0,Rp19.535,Rp52.744
10207,2024-05-13,Non-Fiksi Occaecati,Buku,4.0,Rp22.065,Rp79.434
10208,2024-09-14,Shampoo Provident,Beauty,2.0,Rp48.559,Rp92.262
10209,2024-12-27,Cricket Bat Minus,Sports,3.0,Rp47.479,Rp142.437
10210,2023-12-24,Headphones Similique,Electronics,3.0,Rp62.485,Rp178.082
10211,2024-03-16,Spices Incidunt,Kebutuhan Pokok,5.0,Rp18.762,Rp89.119
10212,2024-05-06,Headphones Maiores,Electronics,5.0,Rp76.126,Rp342.567
10213,2025-03-20,Women's Wear Iste,Pakaian,2.0,Rp60.550,Rp108.990
10214,2024-01-11,Minyak Sunt,Kebutuhan Pokok,3.0,Rp42.839,Rp122.091
10215,2024-03-03,Sofa Vel,Furnitur,4.0,Rp21.265,Rp85.060
10216,2025-07-17,Bed Architecto,Furnitur,3.0,Rp50.927,Rp129.863
10217,2025-03-08,Fiction Dolorem,Buku,4.0,Rp29.195,Rp99.263
10218,2024-12-01,Tennis Racket Rem,Sports,5.0,Rp39.970,Rp159.880
10219,2025-03-07,Headphones Recusandae,Electronics,4.0,Rp19.169,Rp69.008
10220,2024-11-22,RC Car Quam,Toys,3.0,Rp12.676,Rp32.323
10221,2025-01-10,Shampoo Rem,Beauty,4.0,Rp16.526,Rp56.188
10222,2024-03-03,Kursi Sint,Furnitur,4.0,Rp4.135,Rp14.059
10223,2024-10-02,Lipstick Atque,Beauty,2.0,Rp22.859,Rp43.432
10224,2025-09-04,Non-Fiksi Porro,Buku,2.0,Rp77.443,Rp131.653
10225,2023-11-12,Mixer Grinder Aperiam,Dapur,3.0,Rp70.729,Rp212.187
10226,2024-05-14,Mixer Grinder Placeat,Dapur,5.0,Rp57.741,Rp288.705
10227,2024-07-18,Nasi/Beras Ullam,Kebutuhan Pokok,5.0,Rp65.635,Rp295.357
10228,2025-09-03,Spices Cum,Kebutuhan Pokok,3.0,Rp17.427,Rp47.052
10229,2024-05-04,Aksesoris Est,Pakaian,5.0,Rp41.707,Rp187.681
10230,2024-08-07,Cookware Set Nihil,Dapur,3.0,Rp12.925,Rp31.020
10231,2024-11-06,Cricket Bat Ex,Sports,4.0,Rp28.451,Rp91.043
10232,2024-02-16,Wall Art Earum,Home Decor,1.0,Rp46.500,Rp37.200
10233,2024-11-28,Clock Optio,Home Decor,4.0,Rp73.548,Rp235.353
10234,2025-08-14,Clock Maiores,Home Decor,3.0,Rp51.697,Rp147.336
10235,2025-07-17,Sugar Iusto,Kebutuhan Pokok,1.0,Rp39.944,Rp33.952
10236,2025-02-04,Shampoo Libero,Beauty,4.0,Rp18.454,Rp59.052
10237,2024-12-14,Headphones Exercitationem,Electronics,2.0,Rp30.222,Rp60.444
10238,2024-02-01,Biografi Deleniti,Buku,5.0,Rp7.034,Rp29.894
10239,2025-07-15,Headphones Doloribus,Electronics,5.0,Rp57.335,Rp229.340
10240,2024-10-26,Women's Wear Delectus,Pakaian,4.0,Rp9.093,Rp32.734
10241,2023-10-30,Alat Jus (Juicer) Sint,Dapur,2.0,Rp34.565,Rp58.760
10242,2023-12-29,Wall Art Tenetur,Home Decor,5.0,Rp52.040,Rp260.200
10243,2025-02-13,Camera Minus,Electronics,2.0,Rp53.365,Rp85.384
10244,2024-09-19,Tennis Racket Sed,Sports,4.0,Rp15.498,Rp61.992
10245,2023-10-30,Mixer Grinder Aliquam,Dapur,1.0,Rp3.128,Rp2.658
10246,2024-03-31,Men's Wear Ex,Pakaian,5.0,Rp23.664,Rp100.572
10247,2025-02-24,Spices Pariatur,Kebutuhan Pokok,2.0,Rp28.416,Rp51.148
10248,2025-03-18,Cabinet Nisi,Furnitur,1.0,Rp59.778,Rp50.811
10249,2024-06-13,Smartwatch Tempore,Electronics,4.0,Rp31.095,Rp105.723
10250,2023-10-18,Table Deserunt,Furnitur,2.0,Rp50.258,Rp85.438
10251,2024-09-24,Clock Perferendis,Home Decor,2.0,Rp60.360,Rp114.684
10252,2024-03-02,Doll Assumenda,Toys,2.0,Rp63.148,Rp119.981
10253,2024-05-21,Men's Wear Aliquid,Pakaian,5.0,Rp57.913,Rp289.565
10254,2025-01-16,Women's Wear Totam,Pakaian,2.0,Rp58.276,Rp104.896
10255,2023-11-07,Cushion Ipsum,Home Decor,5.0,Rp6.472,Rp29.124
10256,2025-01-12,Headphones Deleniti,Electronics,3.0,Rp3.517,Rp10.023
10257,2024-03-28,Spices Reiciendis,Kebutuhan Pokok,3.0,Rp7.479,Rp17.949
10258,2024-10-21,Vase Laboriosam,Home Decor,5.0,Rp72.191,Rp324.859
10259,2024-12-15,Aksesoris Iure,Pakaian,1.0,Rp59.846,Rp56.853
10260,2024-06-03,Women's Wear Officia,Pakaian,1.0,Rp59.828,Rp56.836
10261,2025-08-30,Women's Wear Vero,Pakaian,2.0,Rp27.785,Rp55.570
10262,2024-10-25,Yoga Mat Quibusdam,Sports,3.0,Rp24.823,Rp67.022
10263,2023-11-22,Action Figure Beatae,Toys,3.0,Rp50.511,Rp136.379
10264,2024-02-05,Alat Jus (Juicer) Voluptate,Dapur,4.0,Rp39.061,Rp124.995
10265,2024-03-07,Cookware Set Ut,Dapur,5.0,Rp30.115,Rp135.517
10266,2024-10-26,Fiction Aliquid,Buku,1.0,Rp43.894,Rp35.115
10267,2025-02-05,RC Car Ipsum,Toys,3.0,Rp33.800,Rp96.330
10268,2025-03-27,Microwave Eius,Dapur,2.0,Rp9.711,Rp17.479
10269,2025-02-20,Doll Eius,Toys,5.0,Rp57.388,Rp229.552
10270,2024-06-09,Yoga Mat Consequuntur,Sports,4.0,Rp27.669,Rp88.540
10271,2024-09-29,Laptop Ipsam,Electronics,2.0,Rp63.300,Rp126.600
10272,2025-09-02,Wall Art Neque,Home Decor,4.0,Rp32.197,Rp115.909
10273,2024-08-27,RC Car Et,Toys,4.0,Rp25.239,Rp85.812
10274,2024-02-16,Cabinet Provident,Furnitur,4.0,Rp47.304,Rp160.833
10275,2025-04-16,Football Temporibus,Sports,2.0,Rp19.112,Rp34.401
10276,2024-04-14,Mobile Laudantium,Electronics,5.0,Rp890,Rp3.560
10277,2024-04-10,Foundation Doloremque,Beauty,4.0,Rp62.321,Rp236.819
10278,2025-04-22,Women's Wear Consequuntur,Pakaian,5.0,Rp31.545,Rp149.838
10279,2024-09-27,Lipstick Debitis,Beauty,1.0,Rp77.022,Rp73.170
10280,2024-02-06,Minyak Sit,Kebutuhan Pokok,5.0,Rp31.480,Rp141.660
10281,2025-08-17,Dumbbells Assumenda,Sports,3.0,Rp77.903,Rp198.652
10282,2024-08-25,Football Distinctio,Sports,4.0,Rp43.141,Rp155.307
10283,2025-06-30,Board Game A,Toys,2.0,Rp41.901,Rp79.611
10284,2025-05-10,Foundation Necessitatibus,Beauty,5.0,Rp74.119,Rp333.535
10285,2025-08-05,Cabinet Ratione,Furnitur,1.0,Rp45.039,Rp45.039
10286,2024-02-14,Microwave Ea,Dapur,3.0,Rp23.107,Rp62.388
10287,2025-07-23,Mobile Beatae,Electronics,1.0,Rp19.031,Rp18.079
10288,2025-03-09,Vase Exercitationem,Home Decor,5.0,Rp6.383,Rp30.319
10289,2024-03-30,Camera Quasi,Electronics,4.0,Rp19.136,Rp68.889
10290,2025-06-23,Camera Atque,Electronics,1.0,Rp24.046,Rp19.236
10291,2025-04-20,Shampoo Nulla,Beauty,5.0,Rp52.962,Rp225.088
10292,2024-07-16,Sofa Dolorum,Furnitur,4.0,Rp697,Rp2.230
10293,2023-10-16,Foundation Officia,Beauty,4.0,Rp64.428,Rp257.712
10294,2025-05-10,Shampoo Saepe,Beauty,1.0,Rp15.196,Rp14.436
10295,2023-11-05,Kursi Assumenda,Furnitur,2.0,Rp78.645,Rp149.425
10296,2024-06-03,Aksesoris Perspiciatis,Pakaian,4.0,Rp66.392,Rp265.568
10297,2024-06-09,Lamp Ex,Home Decor,3.0,Rp53.780,Rp153.273
10298,2025-09-17,Fiction Rem,Buku,5.0,Rp27.298,Rp116.016
10299,2024-01-03,Textbook Alias,Buku,1.0,Rp72.532,Rp68.905
10300,2024-09-14,Camera Placeat,Electronics,5.0,Rp32.758,Rp155.600
10301,2024-08-29,Headphones Rerum,Electronics,1.0,Rp50.673,Rp50.673
10302,2025-04-01,Foundation Molestias,Beauty,3.0,Rp51.988,Rp148.165
10303,2024-05-13,Bed Optio,Furnitur,5.0,Rp50.808,Rp203.232
10304,2024-10-18,Dumbbells Dolorem,Sports,1.0,Rp60.395,Rp54.355
10305,2025-08-31,Cookware Set Eligendi,Dapur,4.0,Rp18.577,Rp74.308
10306,2024-03-26,RC Car Nobis,Toys,5.0,Rp42.091,Rp178.886
10307,2023-11-05,Vase Quisquam,Home Decor,2.0,Rp48.342,Rp87.015
10308,2024-05-27,Sofa Temporibus,Furnitur,5.0,Rp14.484,Rp65.178
10309,2025-06-11,Shampoo Commodi,Beauty,3.0,Rp75.112,Rp225.336
10310,2024-09-13,Bed Aspernatur,Furnitur,1.0,Rp61.423,Rp58.351
10311,2024-07-17,Board Game Consectetur,Toys,5.0,Rp68.955,Rp327.536
10312,2025-04-13,Vase A,Home Decor,2.0,Rp54.662,Rp87.459
10313,2023-12-06,Puzzle Veniam,Toys,1.0,Rp25.673,Rp25.673
10314,2025-01-09,Perfume Mollitia,Beauty,5.0,Rp70.511,Rp352.555
10315,2024-05-25,Comics Reprehenderit,Buku,5.0,Rp27.101,Rp121.954
10316,2023-12-27,Headphones Perferendis,Electronics,4.0,Rp58.124,Rp197.621
10317,2024-05-11,Action Figure Ipsum,Toys,4.0,Rp76.344,Rp274.838
10318,2025-06-01,Cricket Bat Accusamus,Sports,3.0,Rp79.811,Rp227.461
